,num_nodes,initial_outbreak_size,virus_spread_chance,num_vaccinated,vaccine_rate,Run,Infected,Resistant,Susceptible,Susceptible and Vaccinated,avg_node_degree,virus_check_frequency,gain_resistance_chance,recovery_chance
102,100,1,0.7,0.5,0.6,102,59,41,0,0,10,0.4,0.5,0.3
103,100,1,0.7,0.5,0.6,103,54,46,0,0,10,0.4,0.5,0.3
104,100,1,0.7,0.5,0.6,104,49,51,0,0,10,0.4,0.5,0.3
105,100,1,0.7,0.5,0.6,105,59,41,0,0,10,0.4,0.5,0.3
106,100,1,0.7,0.5,0.6,106,55,45,0,0,10,0.4,0.5,0.3
107,100,1,0.7,0.5,0.6,107,50,50,0,0,10,0.4,0.5,0.3
108,100,1,0.7,0.5,0.6,108,65,35,0,0,10,0.4,0.5,0.3
109,100,1,0.7,0.5,0.6,109,52,48,0,0,10,0.4,0.5,0.3
110,100,1,0.5,0.5,0.6,110,57,43,0,0,10,0.4,0.5,0.3
111,100,1,0.5,0.5,0.6,111,63,37,0,0,10,0.4,0.5,0.3
112,100,1,0.5,0.5,0.6,112,63,37,0,0,10,0.4,0.5,0.3
113,100,1,0.5,0.5,0.6,113,64,36,0,0,10,0.4,0.5,0.3
114,100,1,0.5,0.5,0.6,114,57,43,0,0,10,0.4,0.5,0.3
115,100,1,0.5,0.5,0.6,115,64,36,0,0,10,0.4,0.5,0.3
116,100,1,0.5,0.5,0.6,116,60,40,0,0,10,0.4,0.5,0.3
117,100,1,0.5,0.5,0.6,117,44,56,0,0,10,0.4,0.5,0.3
118,100,1,0.5,0.5,0.6,118,61,39,0,0,10,0.4,0.5,0.3
119,100,1,0.5,0.5,0.6,119,62,38,0,0,10,0.4,0.5,0.3
