,num_nodes,initial_outbreak_size,virus_spread_chance,num_vaccinated,vaccine_rate,Run,Infected,Resistant,Susceptible,Susceptible and Vaccinated,avg_node_degree,virus_check_frequency,gain_resistance_chance,recovery_chance
96,100,1,0.9,0.8,0.9,96,69,28,0,3,10,0.4,0.5,0.3
97,100,1,0.9,0.8,0.9,97,65,28,0,7,10,0.4,0.5,0.3
98,100,1,0.9,0.8,0.9,98,66,32,0,2,10,0.4,0.5,0.3
99,100,1,0.9,0.8,0.9,99,67,33,0,0,10,0.4,0.5,0.3
100,100,1,0.7,0.8,0.9,100,69,29,0,2,10,0.4,0.5,0.3
101,100,1,0.7,0.8,0.9,101,69,29,0,2,10,0.4,0.5,0.3
102,100,1,0.7,0.8,0.9,102,54,7,0,39,10,0.4,0.5,0.3
103,100,1,0.7,0.8,0.9,103,59,5,0,36,10,0.4,0.5,0.3
104,100,1,0.7,0.8,0.9,104,68,26,0,6,10,0.4,0.5,0.3
105,100,1,0.7,0.8,0.9,105,66,27,0,7,10,0.4,0.5,0.3
106,100,1,0.7,0.8,0.9,106,60,37,0,3,10,0.4,0.5,0.3
107,100,1,0.7,0.8,0.9,107,68,30,0,2,10,0.4,0.5,0.3
108,100,1,0.7,0.8,0.9,108,75,22,0,3,10,0.4,0.5,0.3
109,100,1,0.7,0.8,0.9,109,66,32,0,2,10,0.4,0.5,0.3
110,100,1,0.5,0.8,0.9,110,61,27,0,12,10,0.4,0.5,0.3
111,100,1,0.5,0.8,0.9,111,59,20,0,21,10,0.4,0.5,0.3
112,100,1,0.5,0.8,0.9,112,58,15,0,27,10,0.4,0.5,0.3
113,100,1,0.5,0.8,0.9,113,65,14,0,21,10,0.4,0.5,0.3
114,100,1,0.5,0.8,0.9,114,65,23,0,12,10,0.4,0.5,0.3
115,100,1,0.5,0.8,0.9,115,60,19,0,21,10,0.4,0.5,0.3
116,100,1,0.5,0.8,0.9,116,68,17,0,15,10,0.4,0.5,0.3
117,100,1,0.5,0.8,0.9,117,71,18,0,11,10,0.4,0.5,0.3
118,100,1,0.5,0.8,0.9,118,52,22,0,26,10,0.4,0.5,0.3
119,100,1,0.5,0.8,0.9,119,63,26,0,11,10,0.4,0.5,0.3
